2025-06-04 03:05:45,238 | ERROR | __main__ | 123
2025-06-04 03:05:45,238 | CRITICAL | __main__ | 123
2025-06-04 03:05:45,240 | DEBUG | __main__ | 123
2025-06-04 03:05:45,241 | ERROR | __main__ | 123
NoneType: None
2025-06-04 03:05:45,242 | INFO | __main__ | Initialization queue
2025-06-04 03:05:45,250 | INFO | __main__ | Initialization of basic flows
2025-06-04 03:05:45,251 | INFO | __main__ | Launch of basic flows
2025-06-04 03:05:45,252 | INFO | __main__ | Initialization of basic modules
2025-06-04 03:05:45,276 | INFO | __main__ | Launch of basic modules
2025-06-04 03:05:45,278 | INFO | __main__ | Launch of the main flows
2025-06-05 03:17:37,015 | INFO | __main__ | Initialization queue
2025-06-05 03:17:37,015 | DEBUG | __main__ | MCIS_SRV_UDP Init
2025-06-05 03:17:37,016 | DEBUG | __main__ | MCIS_SRV_TCP Init
2025-06-05 03:17:37,017 | INFO | __main__ | Initialization of basic flows
2025-06-05 03:17:37,018 | INFO | __main__ | Launch of basic flows
2025-06-05 03:17:37,018 | INFO | __main__ | Initialization of basic modules
2025-06-05 03:17:37,021 | INFO | __main__ | Launch of basic modules
2025-06-05 03:17:37,024 | INFO | __main__ | Launch of the main flows
2025-06-05 03:18:29,321 | INFO | __main__ | The server is stopped by the user
